Data-Locale,Order number,OrgID,PlacedAt,PlacedBy,Customer PO,Req. delivery date,Currency,Net,Subtotal,TotalDelivery,TotalTax,TotalPrice,Delivery Address,Delivery mode,Delivery status,Payment Address,Payment mode,Payment status,Order status
,1000000001,8000001000,2026-03-01T09:15:00,peter.wagner@feuerwehrbedarf.local.cx.me,PO-1001-2026,2026-03-10T00:00:00,EUR,true,8350.00,120.00,0.00,8470.00,8000001000|8800000002|KNA1|WE,,NOTSHIPPED,8000001000|8800000001|KNA1|RE,invoice,NOTPAID,OPEN
,1000000002,8000001000,2026-03-05T14:45:00,peter.wagner@feuerwehrbedarf.local.cx.me,PO-1002-2026,2026-03-15T00:00:00,EUR,true,14300.00,180.00,0.00,14480.00,8000001000|8800000002|KNA1|WE,,PARTSHIPPED,8000001000|8800000001|KNA1|RE,invoice,PARTPAID,OPEN
,1000000003,8100001000,2026-03-03T10:05:00,lena.fischer@nordwasserwerke.local.cx.me,PO-1003-2026,2026-03-18T00:00:00,EUR,true,32000.00,250.00,0.00,32250.00,8100001000|8800000010|KNA1|WE,,NOTSHIPPED,8100001000|8800000009|KNA1|RE,invoice,NOTPAID,CREATED
,1000000004,8100001000,2026-03-07T16:20:00,lena.fischer@nordwasserwerke.local.cx.me,PO-1004-2026,2026-03-25T00:00:00,EUR,true,37500.00,300.00,0.00,37800.00,8100001000|8800000010|KNA1|WE,,SHIPPED,8100001000|8800000009|KNA1|RE,invoice,PAID,COMPLETED
,1000000005,8100002000,2026-03-02T13:40:00,max.muster@pumpendienste.local.cx.me,PO-2001-2026,2026-03-14T00:00:00,EUR,true,29750.00,220.00,0.00,29970.00,8100002000|8800000020|KNA1|WE,,PARTSHIPPED,8100002000|8800000021|KNA1|RE,invoice,PARTPAID,OPEN
,1000000006,8100002000,2026-03-09T09:55:00,max.muster@pumpendienste.local.cx.me,PO-2002-2026,2026-03-20T00:00:00,EUR,true,17600.00,200.00,0.00,17800.00,8100002000|8800000020|KNA1|WE,,NOTSHIPPED,8100002000|8800000021|KNA1|RE,invoice,NOTPAID,OPEN
,1000000007,8100003000,2026-03-04T08:25:00,eva.krause@westkraft.local.cx.me,PO-3001-2026,2026-03-16T00:00:00,EUR,true,11200.00,150.00,0.00,11350.00,8100003000|8800000030|KNA1|WE,,NOTSHIPPED,8100003000|8800000029|KNA1|RE,invoice,NOTPAID,CREATED
,1000000008,8100003000,2026-03-08T15:10:00,eva.krause@westkraft.local.cx.me,PO-3002-2026,2026-03-26T00:00:00,EUR,true,29000.00,260.00,0.00,29260.00,8100003000|8800000030|KNA1|WE,,PARTSHIPPED,8100003000|8800000029|KNA1|RE,invoice,PARTPAID,OPEN
,1000000009,8200001000,2026-03-06T10:50:00,johannes.meier@klaerwerke.local.cx.me,PO-4001-2026,2026-03-22T00:00:00,EUR,true,60100.00,350.00,0.00,60450.00,8200001000|8800000039|KNA1|WE,,NOTSHIPPED,8200001000|8800000038|KNA1|RE,invoice,PARTPAID,OPEN
,1000000010,8200001000,2026-03-10T09:05:00,johannes.meier@klaerwerke.local.cx.me,PO-4002-2026,2026-03-28T00:00:00,EUR,true,34350.00,280.00,0.00,34630.00,8200001000|8800000039|KNA1|WE,,SHIPPED,8200001000|8800000038|KNA1|RE,invoice,PAID,COMPLETED
