Data-Locale,UUID,OrgID,SAPPublicKey,Partner role,Billing,Shipping,Unloading,Contact,AdrBook,Company Name,Line1,Line2,Postal Code,City,Country,First Name,Last Name,Email,Phone,OrgIDs
,9900000001,8100001000,9900000001|9900000001|BUS1006001|null,,false,false,false,true,false,Nordwasserwerke GmbH,Am Flussufer,12,20095,Hamburg,DE,Lena,Fischer,lena.fischer@nordwasserwerke.local.cx.me,+49 40 123456,8100001000
,9900000002,8100001000,9900000002|9900000002|BUS1006001|null,,false,false,false,true,false,Nordwasserwerke GmbH (Nord),Norduferstraße,10,20097,Hamburg,DE,Tom,Becker,tom.becker@nordwasserwerke.local.cx.me,+49 40 223344,8100001001
,9900000003,8100001000,9900000003|9900000003|BUS1006001|null,,false,false,false,true,false,Nordwasserwerke GmbH (Süd),Südallee,3,80339,München,DE,Sara,Klein,sara.klein@nordwasserwerke.local.cx.me,+49 89 556677,8100001002
,9900000004,8100001000,9900000004|9900000004|BUS1006001|null,,false,false,false,true,false,Nordwasserwerke GmbH (West),Weststraße,45,40210,Düsseldorf,DE,Markus,Schmidt,markus.schmidt@nordwasserwerke.local.cx.me,+49 211 889900,8100001003
,9900000005,8100001000,9900000005|9900000005|BUS1006001|null,,false,false,false,true,false,Nordwasserwerke GmbH,Am Flussufer,12,20095,Hamburg,DE,Julia,Weber,julia.weber@nordwasserwerke.local.cx.me,+49 40 667788,"8100001001, 8100001002"
,9900000006,8100002000,9900000006|9900000006|BUS1006001|null,,false,false,false,true,false,Südliche Pumpendienste AG,Pumpenstraße,7,80331,München,DE,Max,Muster,max.muster@pumpendienste.local.cx.me,+49 89 112233,8100002000
,9900000007,8100003000,9900000007|9900000007|BUS1006001|null,,false,false,false,true,false,Westkraft Kläranlagen GmbH,Industrieweg,88,44137,Dortmund,DE,Eva,Krause,eva.krause@westkraft.local.cx.me,+49 231 445566,8100003000
,9900000008,8200001000,9900000008|9900000008|BUS1006001|null,,false,false,false,true,false,Europäische Klärwerke AG,Wasserstraße,5,10117,Berlin,DE,Johannes,Meier,johannes.meier@klaerwerke.local.cx.me,+49 30 778899,8200001000
,9900000009,8200002000,9900000009|9900000009|BUS1006001|null,,false,false,false,true,false,Agua Limpia S.A.,Calle del Río,33,28013,Madrid,ES,Lucia,Gomez,lucia.gomez@agualimpia.local.cx.me,+34 91 223344,8200002000
,9900000010,8200003000,9900000010|9900000010|BUS1006001|null,,false,false,false,true,false,British Waterworks Ltd.,River Road,9,SW1A1AA,London,GB,Thomas,Harper,thomas.harper@waterworks.local.cx.me,+44 20 778899,8200003000
,9900000011,8000001000,9900000011|9900000011|BUS1006001|null,,false,false,false,true,false,Feuerwehrbedarf Europa GmbH,Blaulichtweg,22,50667,Köln,DE,Peter,Wagner,peter.wagner@feuerwehrbedarf.local.cx.me,+49 221 556677,8000001000
,9900000012,8000002000,9900000012|9900000012|BUS1006001|null,,false,false,false,true,false,Royal Fire Brigade Supplies Ltd.,Rescue Street,15,M15AA,Manchester,GB,Sophie,Clark,sophie.clark@rfbs.local.cx.me,+44 161 334455,8000002000
,9900000013,8000003000,9900000013|9900000013|BUS1006001|null,,false,false,false,true,false,American Rescue Supplies Inc.,Rescue Avenue,101,10001,New York,US,Michael,Brown,michael.brown@ars.local.cx.me,+1 212 778899,8000003000
,9900000014,8000004000,9900000014|9900000014|BUS1006001|null,,false,false,false,true,false,Shanghai Industrial Fluids Co.,Huangpu Road,56,200000,Shanghai,CN,Wei,Zhang,wei.zhang@sif.local.cx.me,+86 21 556677,8000004000
